database_row,knot,input_interval,output_interval,consequence,prime,extension_degree,field_order,minimal_polynomial,minimal_polynomial_coefficients,matrix_size,rank,nullity,unit_reduced_size
10159,13n2301,"[1,2]",2,exact u=2,2,4,16,x^4+x^3+x^2+x+1,"[1, 1, 1, 1, 1]",18,16,2,2
10168,13n2310,"[1,3]","[2,3]",improved,2,4,16,x^4+x^3+x^2+x+1,"[1, 1, 1, 1, 1]",18,16,2,2
11471,13n3613,"[1,2]",2,exact u=2,3,4,81,x^4+2x^3+x^2+2x+1,"[1, 2, 1, 2, 1]",16,14,2,3
11573,13n3715,"[1,2]",2,exact u=2,7,2,49,x^2+4x+1,"[1, 4, 1]",16,14,2,2
11579,13n3721,"[1,3]","[2,3]",improved,7,2,49,x^2+4x+1,"[1, 4, 1]",16,14,2,2
11965,13n4107,"[1,2]",2,exact u=2,7,2,49,x^2+4x+1,"[1, 4, 1]",18,16,2,2
12000,13n4142,"[1,2]",2,exact u=2,2,4,16,x^4+x^3+x^2+x+1,"[1, 1, 1, 1, 1]",10,8,2,3
12132,13n4274,"[1,2]",2,exact u=2,2,4,16,x^4+x^3+x^2+x+1,"[1, 1, 1, 1, 1]",10,8,2,4
12330,13n4472,"[1,2]",2,exact u=2,2,4,16,x^4+x^3+x^2+x+1,"[1, 1, 1, 1, 1]",10,8,2,2
12332,13n4474,"[1,2]",2,exact u=2,2,4,16,x^4+x^3+x^2+x+1,"[1, 1, 1, 1, 1]",10,8,2,2
12507,13n4649,"[1,2]",2,exact u=2,7,2,49,x^2+3x+1,"[1, 3, 1]",18,16,2,3
12515,13n4657,"[1,2]",2,exact u=2,2,4,16,x^4+x^3+x^2+x+1,"[1, 1, 1, 1, 1]",16,14,2,2
12815,13n4957,"[1,2]",2,exact u=2,2,4,16,x^4+x^3+x^2+x+1,"[1, 1, 1, 1, 1]",10,8,2,2
