database_row,knot,knotinfo_name,dt_name,alternating,crossing_number,input_interval,certified_lower_bound,output_interval,consequence,signature,determinant,seifert_size,algebraic_unknotting_in_workbook,already_implied_by_workbook,kind,field,field_order,prime,specialization,minimal_polynomial,nullity
4212,13a1232,13a_1232,13a_1232,Y,13,"[2,3]",3,3,exact u=3,0,261,18,,False,quadratic,F_4,4,2,x,x^2+x+1,3
4218,13a1238,13a_1238,13a_1238,Y,13,"[2,3]",3,3,exact u=3,0,261,16,,False,quadratic,F_4,4,2,x,x^2+x+1,3
4618,13a1638,13a_1638,13a_1638,Y,13,"[2,3]",3,3,exact u=3,2,171,18,,False,quadratic,F_4,4,2,x,x^2+x+1,3
4766,13a1786,13a_1786,13a_1786,Y,13,"[2,3]",3,3,exact u=3,0,297,20,,False,scalar,F_3,3,3,2,x-2,3
5700,13a2720,13a_2720,13a_2720,Y,13,"[2,3]",3,3,exact u=3,-2,243,28,,False,scalar,F_3,3,3,2,x-2,3
5707,13a2727,13a_2727,13a_2727,Y,13,"[2,3]",3,3,exact u=3,-2,243,26,,False,scalar,F_3,3,3,2,x-2,3
6052,13a3072,13a_3072,13a_3072,Y,13,"[2,3]",3,3,exact u=3,2,171,16,,False,quadratic,F_4,4,2,x,x^2+x+1,3
7857,13a4877,13a_4877,13a_4877,Y,13,"[2,5]",3,"[3,5]",improved,-4,189,44,,False,scalar,F_3,3,3,2,x-2,3
7943,13n85,13n_85,13n_85,N,13,"[1,2]",2,2,exact u=2,-2,171,14,,False,scalar,F_3,3,3,2,x-2,2
7944,13n86,13n_86,13n_86,N,13,"[1,2]",2,2,exact u=2,0,81,14,,False,scalar,F_3,3,3,2,x-2,2
7973,13n115,13n_115,13n_115,N,13,"[1,2]",2,2,exact u=2,0,261,18,,False,scalar,F_3,3,3,2,x-2,2
7974,13n116,13n_116,13n_116,N,13,"[1,2]",2,2,exact u=2,0,9,18,,False,scalar,F_3,3,3,2,x-2,2
7975,13n117,13n_117,13n_117,N,13,"[1,2]",2,2,exact u=2,-2,99,18,,False,scalar,F_3,3,3,2,x-2,2
8003,13n145,13n_145,13n_145,N,13,"[1,2]",2,2,exact u=2,0,153,30,,False,scalar,F_3,3,3,2,x-2,2
8018,13n160,13n_160,13n_160,N,13,"[1,2]",2,2,exact u=2,-2,175,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8019,13n161,13n_161,13n_161,N,13,"[1,2]",2,2,exact u=2,0,25,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8021,13n163,13n_163,13n_163,N,13,"[1,2]",2,2,exact u=2,0,205,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8022,13n164,13n_164,13n_164,N,13,"[1,2]",2,2,exact u=2,0,25,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8023,13n165,13n_165,13n_165,N,13,"[1,2]",2,2,exact u=2,2,175,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8024,13n166,13n_166,13n_166,N,13,"[1,2]",2,2,exact u=2,-2,155,20,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8025,13n167,13n_167,13n_167,N,13,"[1,2]",2,2,exact u=2,0,145,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8026,13n168,13n_168,13n_168,N,13,"[1,2]",2,2,exact u=2,2,55,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8031,13n173,13n_173,13n_173,N,13,"[1,2]",2,2,exact u=2,2,95,16,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8032,13n174,13n_174,13n_174,N,13,"[1,2]",2,2,exact u=2,-2,175,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
8034,13n176,13n_176,13n_176,N,13,"[1,2]",2,2,exact u=2,0,25,14,,False,quadratic,F_4,4,2,x,x^2+x+1,2
