knot,crossing,interval,det_table,det_plumbing,signature,conway,montesinos,fractions,weights,arms,maps_per_orientation,basic_graph,basic_minus_graph,niwu_graph,niwu_minus_graph,obstructed_basic,obstructed_full,time_seconds,error
11n_3,11,"[1,2]",43,43,2,[221;22;2-],K(1/2;-3/5;5/7),"(1/2, -3/5, 5/7)","[-2, -2, -2, -3, -4, -2]","[[2], [2, 3], [4, 2]]",86,0,0,0,0,True,True,0.706,
11n_17,11,"[1,2]",47,47,2,[311;211;2-],K(1/2;3/5;-3/7),"(1/2, 3/5, -3/7)","[-2, -2, -3, -2, -3, -2, -2]","[[2], [3, 2], [3, 2, 2]]",94,0,0,0,0,True,True,1.83,
11n_51,11,"[1,2]",29,29,0,[213;21;2-],K(1/2;2/3;-8/11),"(1/2, 2/3, -8/11)","[-2, -2, -3, -2, -2, -3, -2]","[[2], [3], [2, 2, 3, 2]]",116,0,0,0,0,True,True,1.519,
11n_54,11,"[1,2]",43,43,-2,[2112;21;2-],K(1/2;2/3;-8/13),"(1/2, 2/3, -8/13)","[-2, -2, -3, -2, -3, -3]","[[2], [3], [2, 3, 3]]",86,0,0,0,0,True,True,0.749,
11n_60,11,"[1,2]",31,31,-2,[3111;3;2-],K(1/2;-2/3;7/11),"(1/2, -2/3, 7/11)","[-2, -2, -2, -2, -3, -4]","[[2], [2, 2], [3, 4]]",62,0,0,0,0,True,True,1.267,
11n_122,11,"[1,2]",27,27,2,[32;3;21-],K(2/3;-2/3;3/7),"(2/3, -2/3, 3/7)","[-2, -3, -2, -2, -2, -4]","[[3], [2, 2], [2, 4]]",54,0,0,0,0,True,True,0.597,
11n_138,11,"[1,2]",15,15,-2,[311;3;3-],K(2/3;-1/3;-4/7),"(2/3, -1/3, -4/7)","[-2, -2, -2, -2, -2, -3, -2, -2]","[[2, 2], [2, 2], [3, 2, 2]]",60,0,0,0,0,True,True,3.603,
12n_11,12,"[1,2]",61,61,0,[2 3 1;-2 1 1;2],K(1/2;-3/5;7/9),"(1/2, -3/5, 7/9)","[-2, -2, -2, -3, -5, -2]","[[2], [2, 3], [5, 2]]",244,0,0,0,0,True,True,1.151,
12n_12,12,"[1,2]",79,79,-2,[2 3 1;2 1 1;2-],K(1/2;3/5;-2/9),"(1/2, 3/5, -2/9)","[-2, -2, -3, -2, -5, -2]","[[2], [3, 2], [5, 2]]",158,0,0,0,0,True,True,1.424,
12n_41,12,"[1,2]",19,19,2,[2 1 3;-2 1 1;2],K(1/2;-3/5;3/11),"(1/2, -3/5, 3/11)","[-2, -2, -2, -3, -2, -2, -3, -2]","[[2], [2, 3], [2, 2, 3, 2]]",38,0,0,0,0,True,True,4.851,
12n_42,12,"[1,2]",59,59,-2,[3 1 1 1;-2 1 1;2],K(1/2;-3/5;7/11),"(1/2, -3/5, 7/11)","[-2, -2, -2, -3, -3, -4]","[[2], [2, 3], [3, 4]]",118,0,0,0,0,True,True,1.062,
12n_43,12,"[1,2]",81,81,0,[3 1 1 1;2 1 1;2-],K(1/2;3/5;-4/11),"(1/2, 3/5, -4/11)","[-2, -2, -3, -2, -3, -4]","[[2], [3, 2], [3, 4]]",162,0,0,0,0,True,True,1.259,
12n_44,12,"[1,2]",51,51,-2,[-3 1 1 1;2 1 1;2],K(1/2;3/5;-7/11),"(1/2, 3/5, -7/11)","[-2, -2, -3, -2, -2, -3, -2, -2]","[[2], [3, 2], [2, 3, 2, 2]]",204,0,0,0,0,True,True,5.241,
12n_45,12,"[1,2]",37,37,0,[2 1 1 2;-2 1 1;2],K(1/2;-3/5;5/13),"(1/2, -3/5, 5/13)","[-2, -2, -2, -3, -2, -3, -3]","[[2], [2, 3], [2, 3, 3]]",148,0,0,0,0,True,True,1.956,
