knot,crossing_number,input_interval,signature_input,mirrored_to_positive_signature,determinant,goeritz_rank,m_G_zero,m_Q_zero,inequality_ok,congruence_ok,obstructs_u_4,new_interval,zero_energy,zero_characteristic_parity,goeritz_matrix,pd_notation
13a_3685,13,"[4,5]",-8,True,141,5,2,-2,False,True,True,5,13,"[1,1,0,1,0]","[[2,0,0,0,-1],[0,8,-1,0,-6],[0,-1,2,-1,0],[0,0,-1,3,-1],[-1,-6,0,-1,8]]","[[5,1,6,26],[1,17,2,16],[9,3,10,2],[3,9,4,8],[17,5,18,4],[25,7,26,6],[7,19,8,18],[19,11,20,10],[11,21,12,20],[21,13,22,12],[13,23,14,22],[23,15,24,14],[15,25,16,24]]"
13a_3712,13,"[4,5]",-8,True,205,5,2,-2,False,True,True,5,13,"[1,0,1,1,0]","[[8,-1,0,0,-5],[-1,3,-1,-1,0],[0,-1,3,0,-1],[0,-1,0,2,0],[-5,0,-1,0,6]]","[[5,1,6,26],[1,7,2,6],[9,3,10,2],[3,17,4,16],[19,5,20,4],[7,19,8,18],[17,9,18,8],[21,11,22,10],[11,23,12,22],[23,13,24,12],[13,25,14,24],[25,15,26,14],[15,21,16,20]]"
13a_3714,13,"[4,5]",-8,True,273,5,2,-2,False,True,True,5,13,"[1,0,1,1,0]","[[6,-1,0,0,-3],[-1,3,-1,-1,0],[0,-1,5,0,-3],[0,-1,0,2,0],[-3,0,-3,0,6]]","[[5,1,6,26],[1,7,2,6],[9,3,10,2],[3,17,4,16],[19,5,20,4],[7,19,8,18],[17,9,18,8],[23,11,24,10],[11,25,12,24],[25,13,26,12],[13,21,14,20],[21,15,22,14],[15,23,16,22]]"
13a_4068,13,"[4,5]",-8,True,225,5,2,-2,False,True,True,5,13,"[1,1,0,1,0]","[[4,0,0,0,-3],[0,6,-1,0,-4],[0,-1,2,-1,0],[0,0,-1,3,-1],[-3,-4,0,-1,8]]","[[5,1,6,26],[1,17,2,16],[11,3,12,2],[3,11,4,10],[17,5,18,4],[23,7,24,6],[7,25,8,24],[25,9,26,8],[9,19,10,18],[19,13,20,12],[13,21,14,20],[21,15,22,14],[15,23,16,22]]"
13a_4085,13,"[4,5]",-8,True,201,5,2,-2,False,True,True,5,13,"[1,1,0,1,0]","[[2,0,0,0,-1],[0,6,-1,0,-4],[0,-1,2,-1,0],[0,0,-1,5,-3],[-1,-4,0,-3,8]]","[[5,1,6,26],[1,17,2,16],[11,3,12,2],[3,11,4,10],[17,5,18,4],[25,7,26,6],[7,19,8,18],[19,9,20,8],[9,21,10,20],[21,13,22,12],[13,23,14,22],[23,15,24,14],[15,25,16,24]]"
13a_4212,13,"[4,5]",-8,True,301,5,2,-2,False,True,True,5,13,"[1,0,1,1,0]","[[6,-1,0,0,-3],[-1,5,-1,-3,0],[0,-1,3,0,-1],[0,-3,0,4,0],[-3,0,-1,0,4]]","[[5,1,6,26],[1,7,2,6],[11,3,12,2],[3,17,4,16],[21,5,22,4],[7,21,8,20],[17,9,18,8],[9,19,10,18],[19,11,20,10],[23,13,24,12],[13,25,14,24],[25,15,26,14],[15,23,16,22]]"
13a_4368,13,"[4,5]",-8,True,269,5,2,-2,False,True,True,5,13,"[1,1,0,1,0]","[[4,0,0,0,-3],[0,4,-1,0,-2],[0,-1,2,-1,0],[0,0,-1,5,-3],[-3,-2,0,-3,8]]","[[5,1,6,26],[1,17,2,16],[13,3,14,2],[3,13,4,12],[17,5,18,4],[23,7,24,6],[7,25,8,24],[25,9,26,8],[9,19,10,18],[19,11,20,10],[11,21,12,20],[21,15,22,14],[15,23,16,22]]"
13a_4381,13,"[4,5]",-8,True,181,5,2,-2,False,True,True,5,13,"[1,1,0,1,0]","[[2,0,0,0,-1],[0,4,-1,0,-2],[0,-1,2,-1,0],[0,0,-1,7,-5],[-1,-2,0,-5,8]]","[[5,1,6,26],[1,17,2,16],[13,3,14,2],[3,13,4,12],[17,5,18,4],[25,7,26,6],[7,19,8,18],[19,9,20,8],[9,21,10,20],[21,11,22,10],[11,23,12,22],[23,15,24,14],[15,25,16,24]]"
13a_4550,13,"[4,5]",-8,True,81,5,2,-2,False,True,True,5,13,"[1,1,0,1,0]","[[8,0,0,0,-7],[0,2,-1,0,0],[0,-1,2,-1,0],[0,0,-1,3,-1],[-7,0,0,-1,8]]","[[5,1,6,26],[1,17,2,16],[15,3,16,2],[3,15,4,14],[17,5,18,4],[19,7,20,6],[7,21,8,20],[21,9,22,8],[9,23,10,22],[23,11,24,10],[11,25,12,24],[25,13,26,12],[13,19,14,18]]"
13a_4562,13,"[4,5]",-8,True,137,5,2,-2,False,True,True,5,13,"[1,1,0,1,0]","[[6,0,0,0,-5],[0,2,-1,0,0],[0,-1,2,-1,0],[0,0,-1,5,-3],[-5,0,0,-3,8]]","[[5,1,6,26],[1,17,2,16],[15,3,16,2],[3,15,4,14],[17,5,18,4],[21,7,22,6],[7,23,8,22],[23,9,24,8],[9,25,10,24],[25,11,26,10],[11,19,12,18],[19,13,20,12],[13,21,14,20]]"
