knot,crossing_number,input_interval,signature_input,mirrored_to_positive_signature,determinant,goeritz_rank,m_G_zero,m_Q_zero,candidate_count,candidate_parameters,inequality_ok_for_all_candidates,congruence_ok_for_all_candidates,obstructs_u_2,new_interval,zero_energy,zero_characteristic_parity,goeritz_matrix,pd_notation
11a_53,11,"[2,3]",4,False,97,4,1,-1,1,"[{""m1"":4,""m2"":10,""a"":3,""two_m1_minus_1"":7,""two_m2_minus_1"":19,""matrix"":[[4,1,3,0],[1,2,0,0],[3,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,8,"[0,0,1,1]","[[4,-1,-1,-1],[-1,3,0,-1],[-1,0,2,0],[-1,-1,0,6]]","[[4,2,5,1],[22,16,1,15],[8,3,9,4],[2,9,3,10],[16,7,17,8],[10,17,11,18],[14,6,15,5],[18,11,19,12],[20,13,21,14],[12,19,13,20],[6,21,7,22]]"
11a_63,11,"[2,3]",4,False,93,5,1,-1,2,"[{""m1"":2,""m2"":16,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":31,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,16,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":24,""m2"":24,""a"":23,""two_m1_minus_1"":47,""two_m2_minus_1"":47,""matrix"":[[24,1,23,0],[1,2,0,0],[23,0,24,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,1,0,1]","[[6,-1,-2,0,-1],[-1,2,0,0,0],[-2,0,5,-1,0],[0,0,-1,2,-1],[-1,0,0,-1,2]]","[[4,2,5,1],[10,8,11,7],[8,3,9,4],[2,9,3,10],[18,11,19,12],[16,5,17,6],[6,17,7,18],[22,15,1,16],[12,21,13,22],[20,13,21,14],[14,19,15,20]]"
11a_64,11,"[2,3]",4,False,97,5,1,-1,1,"[{""m1"":4,""m2"":10,""a"":3,""two_m1_minus_1"":7,""two_m2_minus_1"":19,""matrix"":[[4,1,3,0],[1,2,0,0],[3,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,0,1,1]","[[6,-1,0,0,-3],[-1,2,0,0,0],[0,0,2,-1,-1],[0,0,-1,3,0],[-3,0,-1,0,4]]","[[4,2,5,1],[10,8,11,7],[8,3,9,4],[2,9,3,10],[18,15,19,16],[16,5,17,6],[6,17,7,18],[20,11,21,12],[22,13,1,14],[12,21,13,22],[14,19,15,20]]"
11a_144,11,"[2,3]",4,False,73,5,1,-1,1,"[{""m1"":4,""m2"":6,""a"":1,""two_m1_minus_1"":7,""two_m2_minus_1"":11,""matrix"":[[4,1,1,0],[1,2,0,0],[1,0,6,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,1,0,1,1]","[[4,-1,0,0,-1],[-1,2,0,0,0],[0,0,2,-1,-1],[0,0,-1,5,0],[-1,0,-1,0,2]]","[[4,2,5,1],[12,10,13,9],[10,3,11,4],[2,11,3,12],[20,15,21,16],[16,5,17,6],[18,7,19,8],[6,17,7,18],[8,19,9,20],[22,13,1,14],[14,21,15,22]]"
11a_161,11,"[2,3]",4,False,57,3,1,-1,2,"[{""m1"":2,""m2"":10,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":19,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":6,""a"":4,""two_m1_minus_1"":11,""two_m2_minus_1"":11,""matrix"":[[6,1,4,0],[1,2,0,0],[4,0,6,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,7,"[0,1,1]","[[8,-1,-3],[-1,2,0],[-3,0,5]]","[[4,2,5,1],[12,10,13,9],[10,3,11,4],[2,11,3,12],[14,8,15,7],[8,14,9,13],[20,15,21,16],[18,5,19,6],[6,19,7,20],[22,17,1,18],[16,21,17,22]]"
11a_293,11,"[2,3]",4,False,81,3,1,-1,2,"[{""m1"":2,""m2"":14,""a"":0,""two_m1_minus_1"":3,""two_m2_minus_1"":27,""matrix"":[[2,1,0,0],[1,2,0,0],[0,0,14,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":8,""a"":6,""two_m1_minus_1"":15,""two_m2_minus_1"":15,""matrix"":[[8,1,6,0],[1,2,0,0],[6,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,7,"[0,1,1]","[[4,-1,-1],[-1,7,-2],[-1,-2,4]]","[[6,2,7,1],[18,11,19,12],[10,4,11,3],[2,17,3,18],[16,5,17,6],[22,8,1,7],[4,10,5,9],[20,13,21,14],[12,19,13,20],[14,21,15,22],[8,15,9,16]]"
12a_78,12,"[2,3]",4,False,149,5,1,-1,4,"[{""m1"":2,""m2"":26,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":51,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,26,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":8,""a"":2,""two_m1_minus_1"":11,""two_m2_minus_1"":15,""matrix"":[[6,1,2,0],[1,2,0,0],[2,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":12,""a"":7,""two_m1_minus_1"":15,""two_m2_minus_1"":23,""matrix"":[[8,1,7,0],[1,2,0,0],[7,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":38,""m2"":38,""a"":37,""two_m1_minus_1"":75,""two_m2_minus_1"":75,""matrix"":[[38,1,37,0],[1,2,0,0],[37,0,38,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,0,1,0,1]","[[6,-1,-3,0,-1],[-1,2,0,0,0],[-3,0,7,-2,0],[0,0,-2,3,-1],[-1,0,0,-1,2]]","[[1,5,2,4],[3,9,4,8],[5,14,6,15],[7,3,8,2],[9,16,10,17],[11,18,12,19],[13,22,14,23],[15,6,16,7],[17,10,18,11],[19,24,20,1],[21,12,22,13],[23,20,24,21]]"
12a_85,12,"[2,3]",4,False,145,5,1,-1,2,"[{""m1"":4,""m2"":12,""a"":2,""two_m1_minus_1"":7,""two_m2_minus_1"":23,""matrix"":[[4,1,2,0],[1,2,0,0],[2,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":10,""a"":4,""two_m1_minus_1"":11,""two_m2_minus_1"":19,""matrix"":[[6,1,4,0],[1,2,0,0],[4,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,3,9,"[0,0,1,0,1]","[[4,-1,-1,0,-1],[-1,2,0,0,0],[-1,0,7,-4,0],[0,0,-4,5,-1],[-1,0,0,-1,2]]","[[1,5,2,4],[3,9,4,8],[5,14,6,15],[7,3,8,2],[9,16,10,17],[11,20,12,21],[13,22,14,23],[15,6,16,7],[17,24,18,1],[19,10,20,11],[21,12,22,13],[23,18,24,19]]"
12a_147,12,"[2,4]",4,False,109,5,1,-1,2,"[{""m1"":6,""m2"":10,""a"":5,""two_m1_minus_1"":11,""two_m2_minus_1"":19,""matrix"":[[6,1,5,0],[1,2,0,0],[5,0,10,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":28,""m2"":28,""a"":27,""two_m1_minus_1"":55,""two_m2_minus_1"":55,""matrix"":[[28,1,27,0],[1,2,0,0],[27,0,28,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,"[3,4]",9,"[0,0,1,1,0]","[[7,-1,-4,-1,0],[-1,2,0,0,0],[-4,0,7,0,-1],[-1,0,0,2,-1],[0,0,-1,-1,2]]","[[1,5,2,4],[3,9,4,8],[5,16,6,17],[7,3,8,2],[9,18,10,19],[11,20,12,21],[13,22,14,23],[15,24,16,1],[17,6,18,7],[19,10,20,11],[21,14,22,15],[23,12,24,13]]"
12a_148,12,"[2,4]",4,False,161,5,1,-1,5,"[{""m1"":2,""m2"":28,""a"":1,""two_m1_minus_1"":3,""two_m2_minus_1"":55,""matrix"":[[2,1,1,0],[1,2,0,0],[1,0,28,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":4,""m2"":12,""a"":0,""two_m1_minus_1"":7,""two_m2_minus_1"":23,""matrix"":[[4,1,0,0],[1,2,0,0],[0,0,12,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":6,""m2"":8,""a"":1,""two_m1_minus_1"":11,""two_m2_minus_1"":15,""matrix"":[[6,1,1,0],[1,2,0,0],[1,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":8,""m2"":8,""a"":4,""two_m1_minus_1"":15,""two_m2_minus_1"":15,""matrix"":[[8,1,4,0],[1,2,0,0],[4,0,8,1],[0,0,1,2]],""m_Q_zero"":""-1""},{""m1"":14,""m2"":16,""a"":13,""two_m1_minus_1"":27,""two_m2_minus_1"":31,""matrix"":[[14,1,13,0],[1,2,0,0],[13,0,16,1],[0,0,1,2]],""m_Q_zero"":""-1""}]",False,True,True,"[3,4]",9,"[0,0,1,1,0]","[[5,-1,-2,-1,0],[-1,2,0,0,0],[-2,0,5,0,-1],[-1,0,0,4,-3],[0,0,-1,-3,4]]","[[1,5,2,4],[3,9,4,8],[5,16,6,17],[7,3,8,2],[9,18,10,19],[11,20,12,21],[13,22,14,23],[15,24,16,1],[17,6,18,7],[19,14,20,15],[21,12,22,13],[23,10,24,11]]"
