knot,interval,det,signature,status,mG0,Qe_params
10_47,"[2, 3]",41,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 8, 1, 3, 15], [4, 6, 3, 7, 11]]"
10_100,"[2, 3]",65,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 12, 1, 3, 23], [6, 8, 5, 11, 15]]"
11a_53,"[2, 3]",97,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 10, 3, 7, 19]]"
11a_63,"[2, 3]",93,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 16, 0, 3, 31], [24, 24, 23, 47, 47]]"
11a_64,"[2, 3]",97,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 10, 3, 7, 19]]"
11a_144,"[2, 3]",73,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 6, 1, 7, 11]]"
11a_161,"[2, 3]",57,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 10, 0, 3, 19], [6, 6, 4, 11, 11]]"
11a_293,"[2, 3]",81,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 14, 0, 3, 27], [8, 8, 6, 15, 15]]"
12a_78,"[2, 3]",149,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[2, 26, 1, 3, 51], [6, 8, 2, 11, 15], [8, 12, 7, 15, 23], [38, 38, 37, 75, 75]]"
12a_85,"[2, 3]",145,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 12, 2, 7, 23], [6, 10, 4, 11, 19]]"
12a_147,"[2, 4]",109,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[6, 10, 5, 11, 19], [28, 28, 27, 55, 55]]"
12a_148,"[2, 4]",161,4,one_checkerboard_zero_class_kills_only_orientation_ambiguous,1,"[[4, 12, 0, 7, 23], [2, 28, 1, 3, 55], [6, 8, 1, 11, 15], [8, 8, 4, 15, 15], [14, 16, 13, 27, 31]]"
