representative_index,crossing_index_0based,crossing_index_1based,class_id,jones_vector,source_pd,switched_pd
0,0,1,J3,"[-5,3,-1,2,-3,4,-4,5,-3,2,-1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]","[[20,1,19,22],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
0,1,2,J1,"[-6,2,-1,2,-4,5,-4,5,-3,2,-1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]","[[22,20,1,19],[22,5,21,4],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
0,2,3,J4,"[-2,6,-1,3,-4,6,-6,6,-5,3,-1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]","[[22,20,1,19],[4,22,5,21],[5,11,6,10],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
0,3,4,J2,"[-2,7,-1,2,-3,6,-6,7,-6,4,-3,1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[1,9,2,8],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
0,4,5,J2,"[-2,7,-1,2,-3,6,-6,7,-6,4,-3,1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[9,3,10,2],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
0,5,6,J2,"[-2,7,-1,2,-3,6,-6,7,-6,4,-3,1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[7,15,8,14],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
0,6,7,J3,"[-5,3,-1,2,-3,4,-4,5,-3,2,-1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[16,19,15,18],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
0,7,8,J1,"[-6,2,-1,2,-4,5,-4,5,-3,2,-1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[12,17,11,16],[12,18,13,17],[6,13,7,14],[20,4,21,3]]"
0,8,9,J1,"[-6,2,-1,2,-4,5,-4,5,-3,2,-1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[18,13,17,12],[6,13,7,14],[20,4,21,3]]"
0,9,10,J2,"[-2,7,-1,2,-3,6,-6,7,-6,4,-3,1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[13,7,14,6],[20,4,21,3]]"
0,10,11,J1,"[-6,2,-1,2,-4,5,-4,5,-3,2,-1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[20,4,21,3]]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[14,7,15,8],[18,16,19,15],[16,12,17,11],[12,18,13,17],[6,13,7,14],[4,21,3,20]]"
1,0,1,J3,"[-5,3,-1,2,-3,4,-4,5,-3,2,-1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[16,7,17,8],[14,12,15,11],[18,14,19,13],[12,18,13,17],[6,15,7,16],[20,4,21,3]]","[[20,1,19,22],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[16,7,17,8],[14,12,15,11],[18,14,19,13],[12,18,13,17],[6,15,7,16],[20,4,21,3]]"
1,1,2,J1,"[-6,2,-1,2,-4,5,-4,5,-3,2,-1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[16,7,17,8],[14,12,15,11],[18,14,19,13],[12,18,13,17],[6,15,7,16],[20,4,21,3]]","[[22,20,1,19],[22,5,21,4],[10,5,11,6],[8,1,9,2],[2,9,3,10],[16,7,17,8],[14,12,15,11],[18,14,19,13],[12,18,13,17],[6,15,7,16],[20,4,21,3]]"
1,2,3,J4,"[-2,6,-1,3,-4,6,-6,6,-5,3,-1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[16,7,17,8],[14,12,15,11],[18,14,19,13],[12,18,13,17],[6,15,7,16],[20,4,21,3]]","[[22,20,1,19],[4,22,5,21],[5,11,6,10],[8,1,9,2],[2,9,3,10],[16,7,17,8],[14,12,15,11],[18,14,19,13],[12,18,13,17],[6,15,7,16],[20,4,21,3]]"
1,3,4,J2,"[-2,7,-1,2,-3,6,-6,7,-6,4,-3,1]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[8,1,9,2],[2,9,3,10],[16,7,17,8],[14,12,15,11],[18,14,19,13],[12,18,13,17],[6,15,7,16],[20,4,21,3]]","[[22,20,1,19],[4,22,5,21],[10,5,11,6],[1,9,2,8],[2,9,3,10],[16,7,17,8],[14,12,15,11],[18,14,19,13],[12,18,13,17],[6,15,7,16],[20,4,21,3]]"
